t,theta,s,L1,L2,L3,L4,L5,L6,L7,R1,R2,R3,R4,R5,R6,R7
9.400000000000000577e-01,-5.308199592717192106e-01,-2.510096652869354614e-02,1.458131049268395207e+00,1.642177939793860286e+00,-1.540747466645225883e+00,1.967463439703407868e+00,6.351282927595537364e-01,-2.152064576186729916e-01,-3.668204102432594538e-01,-1.490078064078129927e+00,1.644736895699486556e+00,1.092747804426712044e+00,1.562643835260171032e+00,3.379905816935498963e-01,3.394888938031806469e-01,-8.480866335883860962e-01
9.599999999999999645e-01,-6.100118244427846781e-01,-2.765907000883009725e-02,1.425151668210703493e+00,1.648448165359094109e+00,-1.546751898973365735e+00,1.977374284764911172e+00,7.150714345079464129e-01,-2.163108860640667597e-01,-4.419715902633981064e-01,-1.468380697756764386e+00,1.649336141300697278e+00,1.061345473408046303e+00,1.533199411983895644e+00,3.995031330390548807e-01,4.010014453312660820e-01,-8.825312320121380116e-01
9.799999999999999822e-01,-6.884428281058727617e-01,-3.030324702438174159e-02,1.390313482085584917e+00,1.633370821215637703e+00,-1.531862071373704115e+00,1.984462239131468353e+00,7.767399781207817711e-01,-2.287403502783079134e-01,-4.968880440123740749e-01,-1.431508401844590272e+00,1.632694350153317542e+00,9.998017410386006443e-01,1.504480124821401033e+00,4.750096036165658009e-01,4.769782135459066374e-01,-9.429262352554174109e-01
1.000000000000000000e+00,-7.646986623277580719e-01,-3.298453493971306022e-02,1.353254256212546691e+00,1.593887619387487797e+00,-1.494034697045481641e+00,1.988598640085514901e+00,8.162476963176164002e-01,-2.587108075962414877e-01,-5.302358743583491796e-01,-1.382773388004719939e+00,1.605892996556547825e+00,9.194140001269218709e-01,1.477041572101402300e+00,5.548766436448661077e-01,5.650496613243797261e-01,-1.016514518842757564e+00
1.020000000000000018e+00,-8.373916644977822399e-01,-3.565510134482244298e-02,1.315417988862951137e+00,1.558422329313638999e+00,-1.456573750338942430e+00,1.989857797036404641e+00,8.540948816913609409e-01,-2.844918460850062725e-01,-5.648636388378545092e-01,-1.380913244534544893e+00,1.644342017553921620e+00,9.384220285563664721e-01,1.451346084987284568e+00,5.924070878139632290e-01,6.034986853977596377e-01,-9.929031997256122510e-01
1.040000000000000036e+00,-8.726599999999999913e-01,-3.826886056923409218e-02,1.293958004656291294e+00,1.547030950580653874e+00,-1.442098799159610367e+00,1.984284779891531514e+00,8.755584317756119894e-01,-2.899910132636536741e-01,-5.845572589433353228e-01,-1.365500653339207116e+00,1.649336141708209302e+00,9.268689302541177621e-01,1.433945327458517438e+00,6.230109968956207833e-01,6.341025945582902112e-01,-9.986938778009268880e-01
1.060000000000000053e+00,-8.726599999999999913e-01,-4.078206263378982011e-02,1.288211625546794581e+00,1.547114374898603373e+00,-1.442426993910573163e+00,1.973996043429254943e+00,8.737628432055424277e-01,-2.869256587772300304e-01,-5.810024620682624485e-01,-1.357500016021454758e+00,1.649336141267411682e+00,9.264911066313941124e-01,1.423812750245632364e+00,6.293281664487543337e-01,6.373313261581033951e-01,-9.962794415694518069e-01
1.080000000000000071e+00,-8.726599999999999913e-01,-4.315384717863221531e-02,1.282781222465249282e+00,1.547193934897340029e+00,-1.442724692953548882e+00,1.964248149245841235e+00,8.720805703109159035e-01,-2.840101565722799593e-01,-5.776293347425359714e-01,-1.349922923799523611e+00,1.649336140844258392e+00,9.260589138915088503e-01,1.414159796804362212e+00,6.353596891526916979e-01,6.404411826075019354e-01,-9.939483236412054445e-01
1.100000000000000089e+00,-8.726599999999999913e-01,-4.534675537609070273e-02,1.277753601415503315e+00,1.547268352807323222e+00,-1.442989738065602934e+00,1.955202013673350336e+00,8.705358001746342778e-01,-2.812948185499041798e-01,-5.744947927477900285e-01,-1.342893009510689017e+00,1.649336140525710759e+00,9.255917303163194720e-01,1.405155324088363411e+00,6.409997567309178024e-01,6.433715894768672339e-01,-9.917469506469286378e-01
1.120000000000000107e+00,-8.726599999999999913e-01,-4.732719339636406314e-02,1.273207127872650002e+00,1.547335763068199421e+00,-1.443220302710886083e+00,1.947004380668827972e+00,8.691489806604372204e-01,-2.788266997113406087e-01,-5.716504555372241558e-01,-1.336523190443323461e+00,1.649336140236602688e+00,9.251121992643064340e-01,1.396956580025941363e+00,6.461482356717894726e-01,6.460642297205604345e-01,-9.897202863552352348e-01
