# L_phi_L=0.2850696258,L_phi_R=0.9614795474
t,theta,s,theta_dot,s_dot,sin_phi_L,cos_phi_L,sin_phi_R,cos_phi_R,phi_dot_L,phi_dot_R,qL1,qL2,qL3,qL4,qL5,qL6,qL7,qR1,qR2,qR3,qR4,qR5,qR6,qR7,qdotL1,qdotL2,qdotL3,qdotL4,qdotL5,qdotL6,qdotL7,qdotR1,qdotR2,qdotR3,qdotR4,qdotR5,qdotR6,qdotR7,dL,dR,d_min,m_phi_minus_L,m_phi_minus_R,m_phi_plus_L,m_phi_plus_R,m_q
0.3,-0.2816759684,-0.061614961,0.3066178977,0.006227915131,-0.05996400648,0.9982005399,0.05497227503,0.9984878812,0,0,1.419024876,1.584104629,-1.471708999,1.747307505,0.3357853557,-0.1410838169,-0.0707358277,-1.415237372,1.649336143,1.216974561,1.483721698,0.1800833505,0.203442305,-0.6923996583,0.09251284614,0.130123752,-0.07481256975,-0.07400022153,-0.1592673521,0.1572419671,0.1068004982,-0.05267170927,0,0.129421804,0.114259284,-0.2714061056,-0.2067243901,0.1765307056,0.008417340259,0.03736745507,0.008417340259,0.075,0.135,0.04,0,0
0.31,-0.2786073985,-0.06155270135,0.3070975271,0.006224003469,-0.05996400648,0.9982005399,0.05497227503,0.9984878812,0,0.5,1.419950005,1.585405866,-1.472457124,1.746567502,0.3341926822,-0.1395113972,-0.06966782272,-1.415764089,1.649336143,1.218268779,1.484864291,0.1773692894,0.2013750611,-0.6906343512,0.09225944351,0.1303617324,-0.07460499795,-0.07440973534,-0.1595013729,0.1576185949,0.1065310546,-0.05237355898,0,0.129319327,0.1144312647,-0.271831531,-0.2065357758,0.1771758054,0.008424254079,0.03737001005,0.008424254079,0.075,0.135,0.04,0,0
0.32,-0.27553399,-0.06149048116,0.3075855425,0.006220023414,-0.05996400648,0.9982005399,0.05996400648,0.9982005399,0,0,1.420872599,1.586709483,-1.473203174,1.745823405,0.3325976684,-0.1379352112,-0.06860251217,-1.416287824,1.649336143,1.219561972,1.486008603,0.1746509741,0.1993097034,-0.6888625932,0.09200666463,0.1306025265,-0.0743990916,-0.07482230791,-0.1597400454,0.1579984607,0.1062623301,-0.05207944759,0,0.1292356638,0.1146048944,-0.272277588,-0.2063520806,0.1778432014,0.008431270469,0.03737273518,0.008431270469,0.07,0.135,0.045,0,0
0.33,-0.2724556611,-0.06142830109,0.3080815188,0.006215978432,-0.05996400648,0.9982005399,0.05996400648,0.9982005399,0,0,1.421792666,1.588015509,-1.473947165,1.745075182,0.331000268,-0.1363552266,-0.06753988887,-1.416808619,1.649336143,1.220854329,1.487154652,0.1719281982,0.1972461826,-0.6870841611,0.09175438271,0.1308459542,-0.0741947234,-0.07523780157,-0.1599831545,0.1583813289,0.1059941291,-0.05178089504,0,0.1291411028,0.1147800665,-0.2727226829,-0.2061680891,0.1785045761,0.008438390061,0.03737563084,0.008438390061,0.07,0.135,0.045,0,0
0.34,-0.2693723344,-0.06136616179,0.3085850351,0.006211871957,-0.05996400648,0.9982005399,0.05996400648,0.9982005399,0,0.5,1.42271021,1.589323968,-1.474689113,1.744322804,0.3294004364,-0.1347714133,-0.06647994758,-1.417326428,1.649336143,1.22214574,1.488302453,0.1692009714,0.1951845017,-0.6852991154,0.09150247446,0.1310918369,-0.0739917693,-0.07565607829,-0.1602304877,0.1587669653,0.1057262602,-0.051484389,0,0.1290584817,0.114956675,-0.2731831003,-0.2059872293,0.1791817082,0.008445613482,0.03737869621,0.008445613482,0.07,0.135,0.045,0,0
0.35,-0.2662839367,-0.06130406385,0.3090956738,0.006207707395,-0.05996400648,0.9982005399,0.06495423883,0.9978882437,0,0,1.423625235,1.590634887,-1.47542903,1.743566243,0.3277981316,-0.1331837437,-0.06542268498,-1.417841272,1.649336143,1.223436325,1.48945202,0.1664691404,0.1931246294,-0.6835072983,0.09125081999,0.1313399975,-0.07379010849,-0.07607699969,-0.1604818344,0.1591551366,0.1054585362,-0.05118398697,0,0.1289668563,0.1151346137,-0.273643493,-0.2058058597,0.179854582,0.008452941362,0.03738193142,0.008452941362,0.07,0.135,0.05,0,0
0.36,-0.2631903986,-0.06124200783,0.3096130215,0.006203488117,-0.05996400648,0.9982005399,0.06495423883,0.9978882437,0,0,1.424537743,1.591948287,-1.476166931,1.742805473,0.3261933132,-0.1315921923,-0.06436809962,-1.418353112,1.649336143,1.224725993,1.490603366,0.1637327055,0.1910665708,-0.6817087525,0.09099930286,0.1315902604,-0.07358962338,-0.07650042709,-0.1607369866,0.1595456109,0.1051907743,-0.05088102225,0,0.1288708734,0.1153137772,-0.2741069878,-0.2056245048,0.1805275951,0.008460374325,0.03738533571,0.008460374325,0.065,0.135,0.05,0,0
0.37,-0.2600916552,-0.06117999426,0.3101366684,0.006199217466,-0.05996400648,0.9982005399,0.06495423883,0.9978882437,0,0.5,1.425447736,1.593264189,-1.476902828,1.742040469,0.3245859434,-0.1299967362,-0.06331619188,-1.418861922,1.649336143,1.226014702,1.491756504,0.1609916356,0.1890103257,-0.6799034765,0.09074780999,0.1318424515,-0.07339019955,-0.0769262215,-0.1609957384,0.1599381576,0.1049227957,-0.05058289666,0,0.1287968679,0.1154940605,-0.2745925628,-0.2054468974,0.1812259667,0.008467912996,0.03738890851,0.008467912996,0.065,0.13,0.05,0,0
0.38,-0.2569876456,-0.06111802364,0.3106662084,0.006194898753,-0.05996400648,0.9982005399,0.06994284734,0.9975510003,0,0,1.426355214,1.594582614,-1.47763673,1.741271207,0.322975986,-0.1283973546,-0.06226696392,-1.419367751,1.649336143,1.227302671,1.492911444,0.15824571,0.1869558567,-0.6780912169,0.09049623167,0.132096398,-0.0731917257,-0.0773542437,-0.1612578863,0.1603325475,0.1046544262,-0.05028435229,0,0.1287262752,0.1156753586,-0.2750865825,-0.2052698085,0.1819319366,0.008475557996,0.03739265047,0.008475557996,0.065,0.135,0.05,0,0
0.39,-0.2538783128,-0.06105609643,0.3112012394,0.006190535257,-0.05996400648,0.9982005399,0.06994284734,0.9975510003,0,0.5,1.427260176,1.595903578,-1.478368647,1.740497664,0.3213634071,-0.1267940292,-0.06122041966,-1.419870594,1.649336143,1.228589934,1.494068198,0.1554948441,0.1849031587,-0.6762718975,0.0902444615,0.132351929,-0.07299409363,-0.07778435422,-0.1615232292,0.1607285524,0.1043854954,-0.04997600353,0,0.1286254938,0.1158575673,-0.2755642695,-0.2050880498,0.1826131996,0.008483309942,0.03739656144,0.008483309942,0.06,0.135,0.05,0,0
