t,theta,s,L1,L2,L3,L4,L5,L6,L7,R1,R2,R3,R4,R5,R6,R7,dmin
0.325,-0.87266,-0.131118735,1.07479941,1.58095363,-1.4805867,1.56976817,0.850980297,-0.133305789,-0.461945249,-1.02932488,1.64933614,0.808749238,0.971259645,0.972889534,0.816407272,-0.855816457,0.00773938698
0.33,-0.87266,-0.129231014,1.07968505,1.58132427,-1.48094711,1.57908599,0.852281204,-0.135949308,-0.465625918,-1.03776842,1.64933614,0.815459176,0.98325882,0.960562945,0.810697471,-0.860498511,0.00774918589
0.335,-0.87266,-0.127332344,1.08457946,1.58169272,-1.48129051,1.58841018,0.853584613,-0.138591968,-0.469304161,-1.04613175,1.64933614,0.821829953,0.995163311,0.948635772,0.805098104,-0.865073671,0.00775903603
0.34,-0.87266,-0.125423656,1.08948043,1.58205906,-1.48161719,1.59773627,0.85489046,-0.14123217,-0.472978417,-1.05441653,1.64933614,0.827879962,1.00697071,0.937086612,0.799606457,-0.869545486,0.00776893351
0.345,-0.87266,-0.123505886,1.09438574,1.58242287,-1.48192688,1.60705985,0.856198109,-0.143868792,-0.476646757,-1.06262408,1.64933614,0.833625925,1.01867868,0.925895942,0.79422021,-0.873917362,0.00777887261
0.35,-0.87266,-0.121579976,1.09929322,1.58278426,-1.48221992,1.61637658,0.8575075,-0.14650027,-0.480307689,-1.07075557,1.64933614,0.83908373,1.03028492,0.915045517,0.78893708,-0.878192242,0.00778884948
0.355,-0.87266,-0.119646872,1.10420071,1.58314294,-1.48249623,1.62568219,0.858818133,-0.149125419,-0.483959441,-1.07881187,1.64933614,0.84426783,1.04178722,0.904518667,0.783755132,-0.882373003,0.0077988588
0.36,-0.87266,-0.117707523,1.10910605,1.58349865,-1.48275576,1.63497246,0.860129529,-0.151743061,-0.48760029,-1.08679377,1.64933614,0.849192065,1.05318341,0.89429973,0.778672417,-0.886462109,0.00780889533
0.365,-0.87266,-0.115762883,1.11400716,1.58385151,-1.48299892,1.64424324,0.861441602,-0.154351713,-0.491228826,-1.09470183,1.64933614,0.853869211,1.06447137,0.884374276,0.773687214,-0.890461921,0.00781895517
0.37,-0.872353501,-0.113813905,1.11899876,1.58419895,-1.48326971,1.65345101,0.862489712,-0.156962881,-0.494618889,-1.10264645,1.64933614,0.858534568,1.07571806,0.874350313,0.768507171,-0.894321672,0.00782920065
0.375,-0.858642914,-0.111861546,1.12822493,1.58444525,-1.48540347,1.66086887,0.851940964,-0.160084587,-0.488100855,-1.11524539,1.64933614,0.872556829,1.08987052,0.848418662,0.750778938,-0.895544028,0.00784685368
0.38,-0.844542343,-0.109906764,1.1375806,1.58468038,-1.48747066,1.66812746,0.84095238,-0.16315233,-0.481119701,-1.12775196,1.64933614,0.886295582,1.10399946,0.822982759,0.732918946,-0.896162374,0.00786481291
0.385,-0.830066977,-0.107950516,1.14705795,1.58490426,-1.48946082,1.67521869,0.829531471,-0.1661522,-0.473677361,-1.14016105,1.64933614,0.899764214,1.11810289,0.798015776,0.714944201,-0.896194685,0.00788306535
0.39,-0.815232455,-0.105993759,1.15664886,1.58511725,-1.49136404,1.68213481,0.81768722,-0.169069431,-0.465777326,-1.15246712,1.64933614,0.912974264,1.13217864,0.773492963,0.696872367,-0.895658964,0.00790159862
0.395,-0.800054852,-0.10403745,1.16634476,1.58531927,-1.4931701,1.68886846,0.805429219,-0.171889243,-0.457424007,-1.16466435,1.64933614,0.925935977,1.14622438,0.749391295,0.678721484,-0.894573004,0.00792039755
0.4,-0.784550659,-0.102082542,1.17613674,1.58551085,-1.49486963,1.69541272,0.792768793,-0.174596039,-0.448623653,-1.17674683,1.64933614,0.938658634,1.16023756,0.725689249,0.660509801,-0.892954261,0.00793944814
0.405,-0.768736769,-0.100129989,1.18601549,1.58569221,-1.49645314,1.70176113,0.779718078,-0.177174304,-0.439383649,-1.18870815,1.64933614,0.951149551,1.17421544,0.702367341,0.642256221,-0.890820584,0.007958734
0.41,-0.752630452,-0.0981807368,1.19597132,1.58586365,-1.49791152,1.70790774,0.766290488,-0.179608352,-0.429712913,-1.20054193,1.64933614,0.963415327,1.18815504,0.679407403,0.623979687,-0.888189499,0.00797823795
0.415,-0.736249342,-0.0962357322,1.20599423,1.58602592,-1.49923654,1.71384714,0.752501125,-0.181882144,-0.419622273,-1.21224179,1.64933614,0.975461941,1.20205317,0.656792515,0.605699124,-0.885078184,0.00799794348
0.42,-0.719611418,-0.0942959153,1.21607383,1.58617948,-1.50041999,1.71957446,0.738365986,-0.183980066,-0.409123817,-1.2238011,1.64933614,0.987293736,1.21590641,0.634507566,0.587433863,-0.881504253,0.00801783171
0.425,-0.702734977,-0.0923622212,1.22619943,1.58632482,-1.50145422,1.72508545,0.723902388,-0.18588672,-0.398231268,-1.23521348,1.64933614,0.998914987,1.22971109,0.612538363,0.569202912,-0.877484724,0.008037883
0.43,-0.685638625,-0.0904355795,1.23636007,1.5864629,-1.50233253,1.73037649,0.70912934,-0.187586779,-0.386960322,-1.24647235,1.64933614,1.0103285,1.2434633,0.590872419,0.551025545,-0.873037093,0.00805807844
0.435,-0.668341244,-0.0885169133,1.2465445,1.58659432,-1.50304846,1.73544458,0.694066716,-0.189065753,-0.37532794,-1.25757135,1.64933614,1.02153678,1.25715891,0.569498276,0.532920744,-0.86817854,0.00807839681
0.44,-0.650861984,-0.0866071385,1.25674123,1.58671973,-1.50359618,1.74028739,0.67873564,-0.190309805,-0.363352675,-1.26850442,1.64933614,1.03254216,1.27079352,0.548405454,0.514907152,-0.862925916,0.0080988162
