t_s,theta_rad,s_m,phi_L,phi_R,d_min_m,max_qdot_rad_s
1.59,0.48870067559113317,-0.12779537679466324,0.09494106090111011,0.09370504026218444,0.008080935492707282,0.10899846404586744
1.6,0.4877339561446572,-0.12789028298011923,0.09477860025544935,0.09356287302832246,0.008081037436616203,0.10950680010558544
1.61,0.48676126730098684,-0.1279820019635899,0.09459594170977645,0.09341969150035768,0.00808121413901492,0.11005797891469604
1.62,0.48578256819620147,-0.12807051192686403,0.09439387523052566,0.09327598934444725,0.008081463636264809,0.11056594930218266
1.6300000000000001,0.4847978202255795,-0.12815579225797008,0.09417445497070723,0.0931319263895148,0.008081780330405415,0.11106190917596348
1.6400000000000001,0.48380698708625364,-0.12823782357395072,0.09394119951357417,0.09298710072330325,0.008082154561043211,0.11159844297635169
1.6500000000000001,0.4828100348198663,-0.12831658774363774,0.09369669679967038,0.09284090792677492,0.00808257925248726,0.11219435085616514
1.6600000000000001,0.48180693185522505,-0.1283920679104268,0.09344293510024719,0.0926928045732075,0.008083048992258113,0.11284367756777547
1.67,0.48079764905095823,-0.12846424851505195,0.09318163256575637,0.09254248607820958,0.008083559114833308,0.11372302320342698
1.68,0.47978215973816984,-0.12853311531836062,0.09291371623468869,0.09238999569240153,0.008084107145048506,0.115462851409881
1.69,0.47876043976309574,-0.12859865542408824,0.09264066400421136,0.09223572462714404,0.008084689075073091,0.11710412636606882
1.7,0.4777324675297583,-0.12866085730163287,0.0923633208539831,0.09208007947459013,0.00808530264670745,0.11868851287807902
1.71,0.4766982240426222,-0.12871971080883018,0.09208243431006843,0.09192329017828346,0.008085945865471515,0.12022183983965151
1.72,0.4756576929492499,-0.12877520721472793,0.09179954627943511,0.09176571813794912,0.008086615644928996,0.12165103758381979
1.73,0.474610860582957,-0.1288273392223609,0.09151508287010068,0.09160753927576483,0.008087336341305793,0.12307181043851312
1.74,0.47355771600546737,-0.12887610099152547,0.09122916271393472,0.09144888685002119,0.00808808127630683,0.12445819577404649
1.75,0.47249825104956905,-0.12892148816155447,0.09094153798600012,0.09129011482848913,0.008088851211929197,0.12585768912438677
1.76,0.4714324603617694,-0.1289634978740918,0.09065213872534507,0.09113156284588517,0.00808964639104672,0.12725772613468855
1.77,0.4703603414449503,-0.1290021287958674,0.0903609824501472,0.09097349039196165,0.008090453492496324,0.1276495134445388
1.78,0.4692818947010242,-0.1290373811414716,0.09006590626617246,0.09081582186195196,0.008091289001699038,0.12895512231708706
1.79,0.4681971234735888,-0.1290692566961302,0.08976471464564376,0.09065932969014288,0.0080921621585058,0.1306238054722353
1.8,0.4671060340905831,-0.1290977588384791,0.08945640645404629,0.09050453597131314,0.008093075842963513,0.13235417926868442
1.81,0.46600863590694236,-0.1291228925633389,0.08914071930987112,0.09035161495125982,0.008094030807418256,0.1340958366362277
1.82,0.4649049413472537,-0.12914466450448978,0.08881668166672163,0.09020138178403618,0.008095029831294752,0.1358961222817534
1.83,0.4637949659484115,-0.12916308295744625,0.08848457579915696,0.0900537421173522,0.008096072087908525,0.137669727658829
1.84,0.46267872840227314,-0.12917815790223175,0.08814533701581233,0.08990794410846324,0.008097154867358111,0.1393717818539586
1.85,0.4615562505983136,-0.12918990102615352,0.08780028242101245,0.08976293141405227,0.008098274353822116,0.1409756651833627
1.86,0.46042755766628174,-0.12919832574657727,0.08745037079272144,0.08961808019700589,0.008099427749292646,0.1425048283686503
1.87,0.45929267801885537,-0.1292034472337019,0.08709624080402129,0.08947330378844531,0.00810061316386819,0.14398019228216707
1.8800000000000001,0.4581516433942964,-0.12920528243333423,0.08673844021228426,0.08932867818429263,0.008101828957703193,0.14540719052570927
1.8900000000000001,0.4570044888991067,-0.1292038500896639,0.08637781659555906,0.08918450714471879,0.008103072618449106,0.1467647631919755
1.9000000000000001,0.4558512530506834,-0.12919917076803766,0.08601538170543784,0.08904110109350773,0.008104341149811673,0.14804100659573938
1.9100000000000001,0.45469197781997417,-0.12919126687773477,0.08565201620054716,0.08889876921112778,0.00810565354940476,0.14926208965475585
1.92,0.4535267086741326,-0.12918016269474114,0.08528849183065171,0.08875778804450425,0.008106997079955278,0.15013404330028735
1.93,0.4523554946191739,-0.12916588438452434,0.08492792012584681,0.0886183791413078,0.008108337321717965,0.15006929106076705
1.94,0.45117838824263,-0.1291484600248083,0.08457895763633126,0.08848099615807774,0.00810966218142221,0.15036923064988827
1.95,0.44999544575620537,-0.12912791962834802,0.08424249815237993,0.08834541588473263,0.008110968820758794,0.15059124939349466
