t,theta,s,L1,L2,L3,L4,L5,L6,L7,R1,R2,R3,R4,R5,R6,R7,position_error_m,clearance_L_m,clearance_R_m,collision,rotation_L_rad,rotation_R_rad,margin_L_rad,margin_R_rad
17.13,0.642846494831,-0.0515522104283,1.47762890272,1.64933614313,-1.18818092211,1.42870359219,-0.412333797612,0.433476859043,0.445186470074,-1.38962205396,1.54168674011,1.36259964151,1.78382493214,-0.562183475217,-0.21949928125,-0.122629260828,3.19490668178e-16,0.00891101626701,0.0050002,0,4.93589037525e-16,2.06308147612e-16,0,0.0494302296559
17.135,0.64238775047,-0.0502460617864,1.48194240106,1.64933614313,-1.18838358664,1.43422892852,-0.410092513326,0.431759456774,0.445560407803,-1.39333088385,1.54171497537,1.36252788456,1.789091508,-0.562758140104,-0.22095359185,-0.121993984816,1.18774731499e-16,0.00892028571313,0.0050002,0,4.32666604436e-16,9.71445146547e-17,0,0.0494584649128
17.14,0.64151474481,-0.048951518355,1.48628875055,1.64933614313,-1.1888150145,1.43984737414,-0.407518831101,0.429723186923,0.445728393245,-1.39707625907,1.54174508548,1.36239951208,1.79419625777,-0.562930348613,-0.222321607432,-0.121743936562,2.30555126738e-16,0.00892963120166,0.0050002,0,4.87108375157e-16,1.68830575362e-16,0,0.0494885750245
17.145,0.640232121819,-0.0476693845392,1.49066375274,1.64933614313,-1.18947098679,1.44555431535,-0.404621966476,0.427373344309,0.445690380505,-1.40085588707,1.54177703834,1.36221500269,1.79913709867,-0.562703893901,-0.223602813084,-0.12187758458,2.15887713069e-16,0.00893904364291,0.0050002,0,3.34509386668e-16,3.1432500083e-16,0,0.0495205278842
17.15,0.638545058542,-0.0464004528165,1.49506295305,1.64933614313,-1.1903468957,1.45134510062,-0.401411391548,0.424715817741,0.445446539754,-1.40466723867,1.54181080417,1.36197469631,1.80391206198,-0.562083082847,-0.224796387061,-0.122392745454,5.03679582596e-16,0.00894851336876,0.0050002,0,3.09384418218e-16,3.10316769156e-16,2.22044604925e-16,0.0495542937196
17.155,0.636459258016,-0.0451455031685,1.49948165607,1.64933614313,-1.19143776427,1.45721503996,-0.397896802925,0.421757068694,0.444997270543,-1.40850755167,1.54184635531,1.36167880338,1.80851929919,-0.561072736696,-0.225901218081,-0.123286579419,4.99021784904e-16,0.00895803016549,0.0050002,0,8.68554407747e-16,4.43438211391e-16,0,0.0495898448555
17.16,0.633980941516,-0.0439053025229,1.50391494217,1.64933614313,-1.19273826628,1.46315940351,-0.394088091238,0.418504108602,0.444343214056,-1.41237383541,1.5418836659,1.36132741511,1.81295708861,-0.559678191485,-0.226915925317,-0.124555586821,3.28408399536e-16,0.00896758330971,0.0050002,0,5.57880165459e-16,2.61845576667e-16,0,0.0496271554455
17.165,0.631116840119,-0.0426806042063,1.50835768524,1.64933614313,-1.19424274655,1.46917341964,-0.389995312357,0.414964474928,0.443485264216,-1.41649836224,1.54303065497,1.3619820648,1.81722384229,-0.559001521322,-0.227150403897,-0.125064542379,2.0490308145e-16,0.00897716160733,0.00537410808199,0,3.18887285829e-16,1.57009245868e-16,0,0.0507741445155
17.17,0.627874185629,-0.0414721474086,1.51280457168,1.64933614313,-1.19594524124,1.4752522725,-0.385628660474,0.411146206126,0.442424577559,-1.42059263327,1.54394563449,1.36235057567,1.82131811333,-0.557715336528,-0.227439918561,-0.126175885466,3.53815554188e-16,0.00898675343518,0.00566933162085,0,2.48641008715e-16,3.28701490535e-16,0,0.0516891240378
17.175,0.62426070084,-0.0402806566578,1.51725012022,1.64933614313,-1.19783949833,1.48139109914,-0.380998443144,0.407057815659,0.441162581838,-1.42451312326,1.54396615868,1.36180549176,1.82523860331,-0.555178677563,-0.228192033944,-0.128561529592,2.09550000554e-16,0.00899634678518,0.00566197579921,0,4.55225287101e-16,6.79869977755e-17,2.22044604925e-16,0.0517096482285
17.18,0.620284589183,-0.0391068413086,1.52168870278,1.64933614313,-1.19991899802,1.48758498639,-0.376115058369,0.402708265188,0.439700983335,-1.42826010071,1.54311857987,1.36037952478,1.82898417,-0.55143170011,-0.229381666061,-0.132193348135,3.57403558406e-16,0.00900592931067,0.00536088899725,0,1.24126707662e-16,6.93472931781e-16,0,0.0508620694143
